id,text,language,indicator,present,risk_level
289,"Recently, I lost my work because of pressure from the community and I feel increasingly unsafe.",en,LOSS_OF_LIVELIHOOD,1,HIGH
290,"At the moment, I cannot return to my previous home safely and the situation is getting worse.",en,FORCED_DISPLACEMENT,1,HIGH
291,I keep feeling that My family is being kept out of community events because of the situation.,en,SOCIAL_EXCLUSION,1,HIGH
292,"Right now, My family had to move because of community pressure and this is affecting my daily life.",en,FORCED_DISPLACEMENT,1,HIGH
293,"Recently, We were pushed out of our community and I need help.",en,FORCED_DISPLACEMENT,1,HIGH
294,"At the moment, I was publicly insulted by members of the community these days.",en,HUMILIATION,1,HIGH
295,"Lately, Our family is being socially boycotted",en,SOCIAL_BOYCOTT,1,HIGH
296,I keep feeling that I feel excluded from everyone around me and I feel increasingly unsafe.,en,SOCIAL_EXCLUSION,1,HIGH
297,"These days, The community has deliberately stopped interacting with us and it is becoming difficult to cope.",en,SOCIAL_BOYCOTT,1,HIGH
298,I keep feeling that People insult me whenever I go outside lately.,en,HUMILIATION,1,HIGH
299,I cannot earn a living because of the situation and I need help.,en,LOSS_OF_LIVELIHOOD,1,HIGH
300,"These days, I am repeatedly treated unfairly lately.",en,DISCRIMINATION,1,HIGH
