id,text,language,situation,risk_level
320,I feel that Our family is being socially boycotted because of everything happening.,en,SOCIAL_BOYCOTT,HIGH
321,"For the past few days, I am constantly afraid for my safety lately.",en,FEAR,HIGH
322,"At the moment, I feel nervous most of the time every day.",en,GENERAL_ANXIETY,MODERATE
323,"These days, My college workload is becoming difficult to handle",en,ACADEMIC_STRESS,LOW
324,I keep feeling that I was forced to relocate every day.,en,DISPLACEMENT,HIGH
325,"These days, I cannot stop thinking about possible problems and I need help dealing with it.",en,GENERAL_ANXIETY,MODERATE
326,"Recently, I fear that the threats may become real and it is becoming difficult to cope.",en,THREAT,HIGH
327,"Recently, I cannot manage the pressure from my coursework and I don't know what to do.",en,ACADEMIC_STRESS,LOW
328,"Recently, Everyone has stopped talking to my family every day.",en,SOCIAL_BOYCOTT,HIGH
329,My college workload is becoming difficult to handle lately.,en,ACADEMIC_STRESS,LOW
330,"Recently, Our family is being socially boycotted lately.",en,SOCIAL_BOYCOTT,HIGH
331,"These days, I have stopped spending time with other people because of everything happening.",en,SOCIAL_ISOLATION,MODERATE
332,"For the past few days, I constantly worry about things going wrong",en,GENERAL_ANXIETY,MODERATE
333,"These days, They are trying to make me afraid to report what happened lately.",en,INTIMIDATION,HIGH
334,"Right now, I received a serious threat",en,THREAT,HIGH
335,I spend most of my time alone because of everything happening.,en,SOCIAL_ISOLATION,MODERATE
336,"At the moment, I have been receiving threatening messages and it is affecting my daily life.",en,THREAT,HIGH
337,"Right now, My studies are causing me a lot of stress every day.",en,ACADEMIC_STRESS,LOW
338,I keep feeling that I am afraid someone may find me and it is becoming difficult to cope.,en,FEAR,HIGH
339,I keep feeling that They keep warning me to stay silent lately.,en,INTIMIDATION,HIGH
340,I have started to feel that I am afraid someone may find me every day.,en,FEAR,HIGH
341,"At the moment, I constantly worry about things going wrong and this situation is becoming overwhelming.",en,GENERAL_ANXIETY,MODERATE
342,I have started to feel that I am scared to return home and I don't know what to do.,en,FEAR,HIGH
343,I have started to feel that I am constantly afraid for my safety and this situation is becoming overwhelming.,en,FEAR,HIGH
344,"For the past few days, I feel uneasy without knowing why",en,GENERAL_ANXIETY,MODERATE
345,"Recently, I have stopped spending time with other people because of everything happening.",en,SOCIAL_ISOLATION,MODERATE
346,"Recently, My family had to move because of threats because of everything happening.",en,DISPLACEMENT,HIGH
347,They are pressuring me not to complain,en,INTIMIDATION,HIGH
348,"These days, I have nobody to talk to and I need help dealing with it.",en,SOCIAL_ISOLATION,MODERATE
349,"Recently, I have stopped spending time with other people and I don't know what to do.",en,SOCIAL_ISOLATION,MODERATE
350,"These days, They are pressuring me not to complain and I don't know what to do.",en,INTIMIDATION,HIGH
351,I have started to feel that I feel disconnected from everyone around me and it is becoming difficult to cope.,en,SOCIAL_ISOLATION,MODERATE
352,"Right now, I constantly worry about things going wrong because of everything happening.",en,GENERAL_ANXIETY,MODERATE
353,"Right now, I cannot stop thinking about possible problems and this situation is becoming overwhelming.",en,GENERAL_ANXIETY,MODERATE
354,"Lately, I am frightened about what might happen and I am finding it difficult to manage.",en,FEAR,HIGH
355,"Right now, I have withdrawn from people around me and it is becoming difficult to cope.",en,SOCIAL_ISOLATION,MODERATE
356,"Right now, I am scared to return home every day.",en,FEAR,HIGH
357,I find it difficult to relax because I keep worrying,en,GENERAL_ANXIETY,MODERATE
358,"Right now, I have stopped spending time with other people and I don't know what to do.",en,SOCIAL_ISOLATION,MODERATE
359,"At the moment, I keep worrying about failing my exams and I don't know what to do.",en,ACADEMIC_STRESS,LOW
360,"These days, I am living somewhere else because it was unsafe",en,DISPLACEMENT,HIGH
361,"For the past few days, My family had to move because of threats and it is becoming difficult to cope.",en,DISPLACEMENT,HIGH
362,I have stopped spending time with other people every day.,en,SOCIAL_ISOLATION,MODERATE
363,"Right now, I feel like nobody understands me lately.",en,SOCIAL_ISOLATION,MODERATE
364,"For the past few days, Nobody wants to associate with us and it is becoming difficult to cope.",en,SOCIAL_BOYCOTT,HIGH
365,"At the moment, I keep worrying about what might happen because of everything happening.",en,GENERAL_ANXIETY,MODERATE
366,"Recently, My college workload is becoming difficult to handle and I need help dealing with it.",en,ACADEMIC_STRESS,LOW
367,I keep feeling that I don't feel safe in my surroundings every day.,en,FEAR,HIGH
368,Our family is being socially boycotted,en,SOCIAL_BOYCOTT,HIGH
369,"For the past few days, Someone is threatening to harm my family and I need help dealing with it.",en,THREAT,HIGH
370,I have started to feel that The community has isolated our family and I don't know what to do.,en,SOCIAL_BOYCOTT,HIGH
371,"Lately, I am constantly afraid for my safety because of everything happening.",en,FEAR,HIGH
372,"For the past few days, I have withdrawn from people around me every day.",en,SOCIAL_ISOLATION,MODERATE
373,I have started to feel that We are being deliberately excluded every day.,en,SOCIAL_BOYCOTT,HIGH
374,"For the past few days, I am afraid to go outside every day.",en,FEAR,HIGH
375,I feel that People are deliberately avoiding my family and this situation is becoming overwhelming.,en,SOCIAL_BOYCOTT,HIGH
376,"For the past few days, I am scared that someone will hurt me because of everything happening.",en,FEAR,HIGH
377,"For the past few days, We had to leave everything behind and it is affecting my daily life.",en,DISPLACEMENT,HIGH
378,"These days, I spend most of my time alone and I don't know what to do.",en,SOCIAL_ISOLATION,MODERATE
379,I feel that I feel isolated from my friends lately.,en,SOCIAL_ISOLATION,MODERATE
380,I feel isolated from my friends and this situation is becoming overwhelming.,en,SOCIAL_ISOLATION,MODERATE
381,"These days, I am living somewhere else because it was unsafe because of everything happening.",en,DISPLACEMENT,HIGH
382,"Right now, I have nobody to talk to and it is affecting my daily life.",en,SOCIAL_ISOLATION,MODERATE
383,"For the past few days, Our community has stopped supporting us",en,SOCIAL_BOYCOTT,HIGH
384,"Recently, Our community has stopped supporting us and this situation is becoming overwhelming.",en,SOCIAL_BOYCOTT,HIGH
385,I feel uneasy without knowing why every day.,en,GENERAL_ANXIETY,MODERATE
386,"These days, They keep threatening my family because of everything happening.",en,THREAT,HIGH
387,I keep feeling that I am struggling to cope with academic pressure and I need help dealing with it.,en,ACADEMIC_STRESS,LOW
388,"Recently, I cannot stop thinking about possible problems every day.",en,GENERAL_ANXIETY,MODERATE
389,"Recently, I fear that the threats may become real and it is affecting my daily life.",en,THREAT,HIGH
390,"For the past few days, I don't know when I can return home and this situation is becoming overwhelming.",en,DISPLACEMENT,HIGH
391,"For the past few days, I feel unsafe when I am alone and it is affecting my daily life.",en,FEAR,HIGH
392,"Lately, My family cannot safely return home lately.",en,DISPLACEMENT,HIGH
393,"These days, I am frightened about what might happen and it is affecting my daily life.",en,FEAR,HIGH
394,"Lately, Someone is pressuring me to stop reporting the incident and this situation is becoming overwhelming.",en,INTIMIDATION,HIGH
395,I keep feeling that They warned me not to seek help,en,INTIMIDATION,HIGH
396,"These days, My studies are causing me a lot of stress because of everything happening.",en,ACADEMIC_STRESS,LOW
397,I feel that I keep worrying about what might happen and it is affecting my daily life.,en,GENERAL_ANXIETY,MODERATE
398,"At the moment, I constantly worry about things going wrong lately.",en,GENERAL_ANXIETY,MODERATE
399,"Recently, We had to leave our community and it is affecting my daily life.",en,DISPLACEMENT,HIGH
400,I keep feeling that We had to leave our community every day.,en,DISPLACEMENT,HIGH
401,"At the moment, Someone has threatened me lately.",en,THREAT,HIGH
402,"Recently, I am afraid to speak because of their intimidation every day.",en,INTIMIDATION,HIGH
403,"Recently, They are trying to make me afraid to report what happened and it is becoming difficult to cope.",en,INTIMIDATION,HIGH
404,I am afraid because of repeated threats lately.,en,THREAT,HIGH
405,"At the moment, I feel anxious about my upcoming exams and I am finding it difficult to manage.",en,ACADEMIC_STRESS,LOW
406,"These days, I am worried about my academic performance and I am finding it difficult to manage.",en,ACADEMIC_STRESS,LOW
407,I have started to feel that Someone is threatening to harm my family because of everything happening.,en,THREAT,HIGH
408,"Lately, We had to leave our community and I don't know what to do.",en,DISPLACEMENT,HIGH
409,"Recently, We had to leave our community and I need help dealing with it.",en,DISPLACEMENT,HIGH
410,I have started to feel that Someone has threatened me and I don't know what to do.,en,THREAT,HIGH
411,I have started to feel that I no longer have a safe place to stay lately.,en,DISPLACEMENT,HIGH
412,"Right now, They are trying to make me afraid to report what happened and I am finding it difficult to manage.",en,INTIMIDATION,HIGH
413,"At the moment, I am struggling to cope with academic pressure and I don't know what to do.",en,ACADEMIC_STRESS,LOW
414,"Lately, I feel unsafe when I am alone and I am finding it difficult to manage.",en,FEAR,HIGH
415,"For the past few days, The pressure to perform well is affecting me and it is becoming difficult to cope.",en,ACADEMIC_STRESS,LOW
416,"Recently, I feel unsafe when I am alone every day.",en,FEAR,HIGH
417,I am being pressured to remain silent and I don't know what to do.,en,INTIMIDATION,HIGH
418,I am afraid to speak because of their intimidation and I am finding it difficult to manage.,en,INTIMIDATION,HIGH
419,I feel that We are being deliberately excluded and I am finding it difficult to manage.,en,SOCIAL_BOYCOTT,HIGH
420,"These days, Someone has threatened me and it is becoming difficult to cope.",en,THREAT,HIGH
421,"For the past few days, Someone is threatening to harm my family and I don't know what to do.",en,THREAT,HIGH
422,I find it difficult to relax because I keep worrying lately.,en,GENERAL_ANXIETY,MODERATE
423,"For the past few days, Our family is being socially boycotted and it is affecting my daily life.",en,SOCIAL_BOYCOTT,HIGH
424,I have started to feel that We are being deliberately excluded and it is becoming difficult to cope.,en,SOCIAL_BOYCOTT,HIGH
425,"For the past few days, People are deliberately avoiding my family and I am finding it difficult to manage.",en,SOCIAL_BOYCOTT,HIGH
426,"These days, Someone is threatening to harm my family lately.",en,THREAT,HIGH
427,I keep feeling that I feel anxious about my future because of everything happening.,en,GENERAL_ANXIETY,MODERATE
428,I am living somewhere else because it was unsafe because of everything happening.,en,DISPLACEMENT,HIGH
429,"Recently, I feel disconnected from everyone around me and I don't know what to do.",en,SOCIAL_ISOLATION,MODERATE
430,I keep feeling that The pressure to perform well is affecting me every day.,en,ACADEMIC_STRESS,LOW
431,"For the past few days, We were displaced from our area and it is affecting my daily life.",en,DISPLACEMENT,HIGH
432,I have started to feel that They keep threatening my family every day.,en,THREAT,HIGH
433,"These days, I am scared to return home",en,FEAR,HIGH
434,"These days, Someone warned me that they would hurt me",en,THREAT,HIGH
435,"These days, They are trying to make me afraid to report what happened and I am finding it difficult to manage.",en,INTIMIDATION,HIGH
436,"These days, I feel completely alone every day.",en,SOCIAL_ISOLATION,MODERATE
437,"For the past few days, I have nobody to talk to every day.",en,SOCIAL_ISOLATION,MODERATE
438,I feel anxious about my upcoming exams because of everything happening.,en,ACADEMIC_STRESS,LOW
439,"Right now, I am worried about my academic performance because of everything happening.",en,ACADEMIC_STRESS,LOW
440,My thoughts keep making me anxious and I don't know what to do.,en,GENERAL_ANXIETY,MODERATE
441,I have started to feel that We had to leave our community,en,DISPLACEMENT,HIGH
442,"Right now, I feel nervous most of the time and I don't know what to do.",en,GENERAL_ANXIETY,MODERATE
443,I keep feeling that My thoughts keep making me anxious every day.,en,GENERAL_ANXIETY,MODERATE
444,"At the moment, I keep worrying about failing my exams lately.",en,ACADEMIC_STRESS,LOW
445,"Recently, I spend most of my time alone",en,SOCIAL_ISOLATION,MODERATE
446,I feel that Someone is pressuring me to stop reporting the incident and I don't know what to do.,en,INTIMIDATION,HIGH
447,"For the past few days, They keep trying to silence me because of everything happening.",en,INTIMIDATION,HIGH
448,I feel that I am frightened by the situation because of everything happening.,en,FEAR,HIGH
449,"Lately, We were forced to leave our home and I am finding it difficult to manage.",en,DISPLACEMENT,HIGH
450,"These days, They are trying to make me afraid to report what happened and I need help dealing with it.",en,INTIMIDATION,HIGH
451,I am living somewhere else because it was unsafe and it is affecting my daily life.,en,DISPLACEMENT,HIGH
452,"These days, My family had to move because of threats and this situation is becoming overwhelming.",en,DISPLACEMENT,HIGH
453,"Lately, We were displaced from our area and I don't know what to do.",en,DISPLACEMENT,HIGH
454,I keep feeling that My thoughts keep making me anxious and I don't know what to do.,en,GENERAL_ANXIETY,MODERATE
455,"These days, I find it difficult to relax because I keep worrying because of everything happening.",en,GENERAL_ANXIETY,MODERATE
456,"Lately, I keep worrying about failing my exams lately.",en,ACADEMIC_STRESS,LOW
457,"Recently, People refuse to include us in community activities and I need help dealing with it.",en,SOCIAL_BOYCOTT,HIGH
458,I have started to feel that I feel like nobody understands me and this situation is becoming overwhelming.,en,SOCIAL_ISOLATION,MODERATE
459,"These days, I feel isolated from my friends because of everything happening.",en,SOCIAL_ISOLATION,MODERATE
460,"At the moment, Our family is being socially boycotted because of everything happening.",en,SOCIAL_BOYCOTT,HIGH
461,Someone has threatened me lately.,en,THREAT,HIGH
462,"Right now, We were forced to leave our home lately.",en,DISPLACEMENT,HIGH
463,I have started to feel that I am overwhelmed by my exams and it is becoming difficult to cope.,en,ACADEMIC_STRESS,LOW
464,I keep feeling that I received a serious threat and I need help dealing with it.,en,THREAT,HIGH
465,I feel that I find it difficult to relax because I keep worrying lately.,en,GENERAL_ANXIETY,MODERATE
466,"For the past few days, They told me not to speak about what happened and I don't know what to do.",en,THREAT,HIGH
467,"At the moment, I fear that the threats may become real",en,THREAT,HIGH
468,"Lately, I am afraid to speak because of their intimidation because of everything happening.",en,INTIMIDATION,HIGH
469,"These days, I am constantly expecting something bad because of everything happening.",en,GENERAL_ANXIETY,MODERATE
470,I have started to feel that I feel like nobody understands me and I am finding it difficult to manage.,en,SOCIAL_ISOLATION,MODERATE
471,"At the moment, They are trying to make me afraid to report what happened and it is affecting my daily life.",en,INTIMIDATION,HIGH
472,The pressure to perform well is affecting me and I need help dealing with it.,en,ACADEMIC_STRESS,LOW
473,I keep feeling that They told me not to speak about what happened and I don't know what to do.,en,THREAT,HIGH
474,The pressure to perform well is affecting me every day.,en,ACADEMIC_STRESS,LOW
475,"Recently, I am afraid because of repeated threats because of everything happening.",en,THREAT,HIGH
476,"At the moment, I am constantly afraid for my safety and I need help dealing with it.",en,FEAR,HIGH
477,"At the moment, Someone warned me that they would hurt me and this situation is becoming overwhelming.",en,THREAT,HIGH
478,I have started to feel that I feel anxious about my future because of everything happening.,en,GENERAL_ANXIETY,MODERATE
479,I have started to feel that I have nobody to talk to and this situation is becoming overwhelming.,en,SOCIAL_ISOLATION,MODERATE
480,"Recently, Our family is being socially boycotted and I don't know what to do.",en,SOCIAL_BOYCOTT,HIGH
481,I feel that I feel nervous most of the time and it is becoming difficult to cope.,en,GENERAL_ANXIETY,MODERATE
482,I feel exhausted because of my studies every day.,en,ACADEMIC_STRESS,LOW
483,"At the moment, They keep trying to silence me and I don't know what to do.",en,INTIMIDATION,HIGH
484,I keep feeling that My family cannot safely return home and it is becoming difficult to cope.,en,DISPLACEMENT,HIGH
485,"These days, I feel anxious about my upcoming exams",en,ACADEMIC_STRESS,LOW
486,I feel that I feel exhausted because of my studies,en,ACADEMIC_STRESS,LOW
487,"Lately, My thoughts keep making me anxious and I need help dealing with it.",en,GENERAL_ANXIETY,MODERATE
488,"At the moment, Our family is being socially boycotted and this situation is becoming overwhelming.",en,SOCIAL_BOYCOTT,HIGH
489,I keep feeling that I am worried about my academic performance and it is becoming difficult to cope.,en,ACADEMIC_STRESS,LOW
490,I spend most of my time alone every day.,en,SOCIAL_ISOLATION,MODERATE
491,My college workload is becoming difficult to handle,en,ACADEMIC_STRESS,LOW
492,I have started to feel that I feel disconnected from everyone around me because of everything happening.,en,SOCIAL_ISOLATION,MODERATE
493,"Right now, My worries are interfering with my daily life and this situation is becoming overwhelming.",en,GENERAL_ANXIETY,MODERATE
494,"Right now, I don't feel safe in my surroundings and I need help dealing with it.",en,FEAR,HIGH
495,I keep feeling that Someone is pressuring me to stop reporting the incident and I don't know what to do.,en,INTIMIDATION,HIGH
496,"For the past few days, I have stopped spending time with other people because of everything happening.",en,SOCIAL_ISOLATION,MODERATE
497,"Recently, They keep trying to silence me and I need help dealing with it.",en,INTIMIDATION,HIGH
498,"These days, I feel uneasy without knowing why because of everything happening.",en,GENERAL_ANXIETY,MODERATE
499,I feel that I don't feel safe in my surroundings every day.,en,FEAR,HIGH
500,"These days, I have withdrawn from people around me and this situation is becoming overwhelming.",en,SOCIAL_ISOLATION,MODERATE
